Release Year,IMDb Title Rating,IMDb Title Number Of Votes,Runtime (Minutes),Country Code,Season Number,Episode Number,Successful Flag
2000,,,29.0,SE,1.0,6.0,No
2000,,,29.0,SE,1.0,7.0,No
2000,,,29.0,SE,1.0,8.0,No
2009,,,,SE,1.0,1.0,No
2009,,,,SE,1.0,2.0,No
2009,,,,SE,1.0,3.0,No
2009,,,,SE,1.0,5.0,No
2009,,,,SE,1.0,6.0,No
2009,,,,SE,1.0,4.0,No
2009,,,,SE,1.0,7.0,No
2009,,,,SE,1.0,8.0,No
2009,,,,SE,1.0,9.0,No
2009,,,,SE,1.0,10.0,No
2009,,,10.0,SE,1.0,1.0,No
2009,,,10.0,SE,1.0,2.0,No
2009,,,10.0,SE,1.0,3.0,No
2009,,,10.0,SE,1.0,4.0,No
2009,,,10.0,SE,1.0,5.0,No
2009,,,10.0,SE,1.0,6.0,No
2009,,,10.0,SE,1.0,7.0,No
2009,,,10.0,SE,1.0,8.0,No
2009,,,10.0,SE,1.0,9.0,No
2009,,,10.0,SE,1.0,10.0,No
2009,,,10.0,SE,1.0,11.0,No
2009,,,10.0,SE,1.0,12.0,No
2009,,,10.0,SE,1.0,13.0,No
2009,,,58.0,SE,1.0,1.0,No
2010,,,15.0,SE,1.0,2.0,No
2010,,,15.0,SE,1.0,3.0,No
2010,,,15.0,SE,1.0,4.0,No
2010,,,15.0,SE,1.0,5.0,No
2010,,,15.0,SE,1.0,6.0,No
2010,,,15.0,SE,1.0,7.0,No
2010,,,15.0,SE,1.0,8.0,No
2010,,,15.0,SE,1.0,9.0,No
2010,,,15.0,SE,1.0,10.0,No
2010,,,15.0,SE,1.0,11.0,No
2010,,,15.0,SE,1.0,12.0,No
2010,,,15.0,SE,1.0,13.0,No
2010,,,15.0,SE,1.0,14.0,No
2010,,,15.0,SE,1.0,15.0,No
2010,,,15.0,SE,1.0,16.0,No
2010,,,15.0,SE,1.0,18.0,No
2010,,,15.0,SE,1.0,19.0,No
2010,,,15.0,SE,1.0,20.0,No
2010,,,15.0,SE,1.0,21.0,No
2010,,,15.0,SE,1.0,22.0,No
2010,,,15.0,SE,1.0,23.0,No
2010,,,15.0,SE,1.0,24.0,No
2010,5.2,47,59.0,SE,1.0,4.0,No
2010,5.4,65,,SE,1.0,3.0,No
2010,6.4,43,58.0,SE,1.0,6.0,No
2010,6.6,257,42.0,SE,1.0,1.0,No
1969,,,15.0,SE,1.0,1.0,No
1969,,,15.0,SE,1.0,2.0,No
1969,,,15.0,SE,1.0,3.0,No
1969,,,15.0,SE,1.0,4.0,No
1969,,,15.0,SE,1.0,5.0,No
1969,,,15.0,SE,1.0,6.0,No
1969,,,15.0,SE,1.0,7.0,No
1969,,,15.0,SE,1.0,8.0,No
1969,,,15.0,SE,1.0,9.0,No
1969,,,15.0,SE,1.0,10.0,No
1969,,,15.0,SE,1.0,11.0,No
1969,,,15.0,SE,1.0,12.0,No
1969,,,15.0,SE,1.0,13.0,No
1969,,,15.0,SE,1.0,14.0,No
1969,,,15.0,SE,1.0,15.0,No
1969,,,15.0,SE,1.0,16.0,No
1969,,,15.0,SE,1.0,17.0,No
1969,,,15.0,SE,1.0,18.0,No
1969,,,15.0,SE,1.0,19.0,No
1969,,,15.0,SE,1.0,20.0,No
1969,,,15.0,SE,1.0,21.0,No
1969,,,15.0,SE,1.0,22.0,No
1969,,,15.0,SE,1.0,23.0,No
1969,,,15.0,SE,1.0,24.0,No
1969,,,15.0,SE,1.0,25.0,No
1973,,,15.0,SE,1.0,2.0,No
1973,,,15.0,SE,1.0,3.0,No
1973,,,15.0,SE,1.0,4.0,No
1973,,,15.0,SE,1.0,5.0,No
1973,,,15.0,SE,1.0,6.0,No
1973,,,15.0,SE,1.0,7.0,No
1973,,,15.0,SE,1.0,8.0,No
1973,,,15.0,SE,1.0,9.0,No
1973,,,15.0,SE,1.0,10.0,No
1973,,,15.0,SE,1.0,11.0,No
1973,,,15.0,SE,1.0,12.0,No
1973,,,15.0,SE,1.0,13.0,No
1973,,,15.0,SE,1.0,14.0,No
1973,,,15.0,SE,1.0,15.0,No
1973,,,15.0,SE,1.0,16.0,No
1973,,,15.0,SE,1.0,17.0,No
1973,,,15.0,SE,1.0,18.0,No
1973,,,15.0,SE,1.0,19.0,No
1973,,,15.0,SE,1.0,20.0,No
1973,,,15.0,SE,1.0,21.0,No
1973,,,15.0,SE,1.0,22.0,No
1973,,,15.0,SE,1.0,23.0,No
1973,,,15.0,SE,1.0,24.0,No
1974,,,20.0,SE,1.0,4.0,No
1974,,,20.0,SE,1.0,5.0,No
1974,,,20.0,SE,1.0,8.0,No
1974,,,20.0,SE,1.0,10.0,No
1974,,,20.0,SE,1.0,14.0,No
1974,,,20.0,SE,1.0,17.0,No
1974,,,20.0,SE,1.0,18.0,No
1974,,,20.0,SE,1.0,19.0,No
1974,,,20.0,SE,1.0,20.0,No
1974,,,20.0,SE,1.0,22.0,No
1974,,,20.0,SE,1.0,24.0,No
1974,,,25.0,SE,1.0,1.0,No
1974,,,25.0,SE,1.0,2.0,No
1974,,,25.0,SE,1.0,3.0,No
1974,,,25.0,SE,1.0,6.0,No
1974,,,25.0,SE,1.0,7.0,No
1974,,,25.0,SE,1.0,9.0,No
1974,,,25.0,SE,1.0,11.0,No
1974,,,25.0,SE,1.0,12.0,No
1974,,,25.0,SE,1.0,13.0,No
1974,,,25.0,SE,1.0,15.0,No
1974,,,25.0,SE,1.0,16.0,No
1974,,,25.0,SE,1.0,21.0,No
1974,,,25.0,SE,1.0,23.0,No
1977,,,30.0,SE,1.0,3.0,No
1977,,,30.0,SE,1.0,4.0,No
1977,,,30.0,SE,1.0,7.0,No
1977,,,30.0,SE,1.0,10.0,No
1977,,,30.0,SE,1.0,12.0,No
1977,,,30.0,SE,1.0,13.0,No
1977,,,30.0,SE,1.0,14.0,No
1977,,,30.0,SE,1.0,18.0,No
1977,,,30.0,SE,1.0,19.0,No
1977,,,30.0,SE,1.0,20.0,No
1977,,,30.0,SE,1.0,21.0,No
1977,,,30.0,SE,1.0,24.0,No
1977,,,30.0,SE,1.0,25.0,No
1977,,,30.0,SE,1.0,27.0,No
1977,,,30.0,SE,1.0,28.0,No
1988,,,30.0,SE,1.0,3.0,No
1988,,,30.0,SE,1.0,4.0,No
1988,,,30.0,SE,1.0,9.0,No
1988,,,30.0,SE,1.0,10.0,No
1988,,,30.0,SE,1.0,11.0,No
1988,,,30.0,SE,1.0,16.0,No
1988,,,30.0,SE,1.0,17.0,No
1988,,,30.0,SE,1.0,18.0,No
1988,,,30.0,SE,1.0,20.0,No
1988,,,30.0,SE,1.0,23.0,No
1988,,,30.0,SE,1.0,24.0,No
1988,,,40.0,SE,1.0,8.0,No
1988,,,40.0,SE,1.0,12.0,No
1988,,,40.0,SE,1.0,13.0,No
1988,,,40.0,SE,1.0,15.0,No
1988,,,40.0,SE,1.0,19.0,No
1988,,,40.0,SE,1.0,21.0,No
1988,,,45.0,SE,1.0,1.0,No
2009,,,,SE,,,No
2011,,,48.0,SE,4.0,6.0,No
2005,,,,SE,,,No
2011,,,45.0,SE,,,No
1985,5.9,7,27.0,SE,1.0,1.0,No
1986,,,28.0,SE,1.0,4.0,No
1986,,,29.0,SE,1.0,5.0,No
1986,6.7,6,26.0,SE,1.0,2.0,No
1986,8.6,9,29.0,SE,1.0,3.0,No
1987,6.0,9,30.0,SE,1.0,3.0,No
1987,6.1,9,30.0,SE,1.0,4.0,No
1987,6.1,10,30.0,SE,1.0,2.0,No
1988,6.1,9,30.0,SE,1.0,6.0,No
1988,6.1,9,30.0,SE,1.0,7.0,No
1995,,,104.0,SE,1.0,2.0,No
1995,,,123.0,SE,1.0,1.0,No
2004,,,,SE,1.0,1.0,No
